index,Lifted_mod_daily_weekly_value,Lifted_mod_daily_nextrefresh,Lifted_actual_daily,Lifted_actual_weekly,Lifted_actual_monthly,Week_structure_weekly_value,Week_structure_next_refresh,date,account_type,supplier_terminal_name,product_name,"('base_gallons', 'Daily')","('base_gallons', 'Monthly')","('base_gallons', 'Weekly')",daily_nextrefresh_flag,daily_weekValue_flag,"('beginning_gallons', 'Daily')","('beginning_gallons', 'Monthly')","('beginning_gallons', 'Weekly')","('en_allocation_status', 'Daily')","('en_allocation_status', 'Monthly')","('en_allocation_status', 'Weekly')","('percentage_allocation', 'Daily')","('percentage_allocation', 'Monthly')","('percentage_allocation', 'Weekly')","('alerts_ratability', 'Daily')","('alerts_ratability', 'Monthly')","('alerts_ratability', 'Weekly')","('next_refresh_date', 'Daily')","('next_refresh_date', 'Monthly')",Modified_NRD,"('next_refresh_date', 'Weekly')",sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
"2015-06-01 00:00:00",0,0,0,0,0,w1,w1,"2015-06-01 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Woods Cross UT - HEP - 5000",V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2015-06-07 00:00:00",1,1,1,1
"2015-06-02 00:00:00",0,0,0,0,0,w1,w1,"2015-06-02 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Woods Cross UT - HEP - 5000",V,NULL,NULL,NULL,0,0,11667,500000,116667,Unknown,Unknown,Unknown,,,,,,,"06/03 00:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-07 00:00:00",1,1,1,1
"2015-06-03 00:00:00",0,0,0,0,0,w1,w1,"2015-06-03 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Woods Cross UT - HEP - 5000",V,NULL,NULL,NULL,0,0,11667,500000,116667,Unknown,Unknown,Unknown,,,,,,,"06/04 00:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-07 00:00:00",1,1,1,1
"2015-06-04 00:00:00",0,0,0,0,0,w1,w1,"2015-06-04 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Woods Cross UT - HEP - 5000",V,NULL,NULL,NULL,0,0,11667,500000,116667,Unknown,Unknown,Unknown,,,,,,,"06/05 00:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-07 00:00:00",1,1,1,1
"2015-06-05 00:00:00",0,0,0,0,0,w1,w1,"2015-06-05 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Woods Cross UT - HEP - 5000",V,NULL,NULL,NULL,0,0,11667,500000,116667,Unknown,Unknown,Unknown,,,,,,,"06/06 00:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-07 00:00:00",1,1,1,1
"2015-06-06 00:00:00",0,0,0,0,0,w1,w1,"2015-06-06 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Woods Cross UT - HEP - 5000",V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2015-06-07 00:00:00",1,1,1,1
"2015-06-07 00:00:00",0,0,0,0,0,w1,w2,"2015-06-07 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Woods Cross UT - HEP - 5000",V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2015-06-14 00:00:00",1,1,1,1
"2015-06-08 00:00:00",0,0,0,0,0,w1,w2,"2015-06-08 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Woods Cross UT - HEP - 5000",V,NULL,NULL,NULL,0,0,11667,500000,116667,Unknown,Unknown,Unknown,,,,,,,"06/08 00:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-14 00:00:00",1,1,1,1
"2015-06-09 00:00:00",0,0,0,0,0,w1,w2,"2015-06-09 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Woods Cross UT - HEP - 5000",V,NULL,NULL,NULL,0,0,11667,500000,116667,Unknown,Unknown,Unknown,,,,,,,"06/10 00:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-14 00:00:00",1,1,1,1
"2015-06-10 00:00:00",0,0,0,0,0,w1,w2,"2015-06-10 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Woods Cross UT - HEP - 5000",V,NULL,NULL,NULL,0,0,11667,500000,116667,Unknown,Unknown,Unknown,,,,,,,"06/10 00:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-14 00:00:00",1,1,1,1
"2015-06-11 00:00:00",0,0,0,0,0,w1,w2,"2015-06-11 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Woods Cross UT - HEP - 5000",V,NULL,NULL,NULL,0,0,11667,500000,116667,Available,Available,Available,,,,,,,"06/12 00:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-14 00:00:00",1,1,1,1
"2015-06-12 00:00:00",0,0,0,0,0,w1,w2,"2015-06-12 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Woods Cross UT - HEP - 5000",V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2015-06-14 00:00:00",1,1,1,1
"2015-06-13 00:00:00",0,0,0,0,0,w1,w2,"2015-06-13 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Woods Cross UT - HEP - 5000",V,NULL,NULL,NULL,0,0,11667,500000,116667,Available,Available,Available,,,,,,,"06/14 00:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-14 00:00:00",1,1,1,1
"2015-06-14 00:00:00",0,0,0,0,0,w1,w3,"2015-06-14 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Woods Cross UT - HEP - 5000",V,NULL,NULL,NULL,0,0,11667,500000,116667,Available,Available,Available,,,,,,,"06/15 00:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-21 00:00:00",1,1,1,1
"2015-06-15 00:00:00",0,0,0,0,0,w1,w3,"2015-06-15 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Woods Cross UT - HEP - 5000",V,NULL,NULL,NULL,0,0,11667,500000,116667,Available,Available,Available,,,,,,,"06/16 00:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-21 00:00:00",1,1,1,1
"2015-06-16 00:00:00",0,0,0,0,0,w1,w3,"2015-06-16 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Woods Cross UT - HEP - 5000",V,0,0,0,0,0,11667,500000,116667,Available,Available,Available,,,,,,,"06/17 00:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-21 00:00:00",1,1,1,1
"2015-06-17 00:00:00",7500,7500,7500,7500,7500,w1,w3,"2015-06-17 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Woods Cross UT - HEP - 5000",V,0,0,0,0,0,11667,500000,116667,Limited,Available,Available,,,,,,,"06/18 00:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-21 00:00:00",1,1,1,1
"2015-06-18 00:00:00",0,0,0,7500,7500,w1,w3,"2015-06-18 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Woods Cross UT - HEP - 5000",V,0,0,0,0,0,11667,500000,116667,Available,Available,Available,,,,,,,"06/19 00:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-21 00:00:00",1,1,1,1
"2015-06-19 00:00:00",7501,7501,7501,15001,15001,w1,w3,"2015-06-19 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Woods Cross UT - HEP - 5000",V,0,0,0,0,0,11667,500000,116667,Limited,Available,Available,,,,,,,"06/20 00:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-21 00:00:00",1,1,1,1
"2015-06-20 00:00:00",4008,4008,4008,19009,19009,w1,w3,"2015-06-20 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Woods Cross UT - HEP - 5000",V,0,0,0,0,0,11667,500000,116667,Available,Available,Available,,,,,,,"06/21 00:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-21 00:00:00",1,1,1,1
