,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,date
0,,Unknown,110,50 - Commercial,7305,,CANTON OH - BUCKEYE (PLANT 9180),3400,4636,0,0,06/10 00:00:00 EDT,7305,PREMIUM,Weekly,2,2015-06-03 07:40:38,633,2015-06-03
1,,Unknown,110,50 - Commercial,7305,,CANTON OH - BUCKEYE (PLANT 9180),5601,2435,0,0,06/10 00:00:00 EDT,7305,PREMIUM,Weekly,1,2015-06-04 05:31:03,1076,2015-06-04
2,,Unknown,110,50 - Commercial,7305,,CANTON OH - BUCKEYE (PLANT 9180),8601,0,8000,7434,06/10 00:00:00 EDT,7305,PREMIUM,Weekly,1,2015-06-05 03:38:23,1139,2015-06-05
3,,Unknown,110,50 - Commercial,7305,,CANTON OH - BUCKEYE (PLANT 9180),15607,0,8000,428,06/10 00:00:00 EDT,7305,PREMIUM,Weekly,1,2015-06-08 00:43:49,1329,2015-06-08
4,,Unknown,110,50 - Commercial,7305,,CANTON OH - BUCKEYE (PLANT 9180),15607,0,8000,428,06/10 00:00:00 EDT,7305,PREMIUM,Weekly,2,2015-06-09 07:55:45,1582,2015-06-09
5,,Unknown,200,50 - Commercial,27373,54746.0,CANTON OH - BUCKEYE (PLANT 9180),39805,14941,0,0,06/04 00:00:00 EDT,27373,REGULAR,Daily,2,2015-06-03 07:40:38,634,2015-06-03
6,,Unknown,110,50 - Commercial,191612,,CANTON OH - BUCKEYE (PLANT 9180),39805,170968,0,0,06/10 00:00:00 EDT,191612,REGULAR,Weekly,2,2015-06-03 07:40:38,635,2015-06-03
7,,Unknown,200,50 - Commercial,27373,54746.0,CANTON OH - BUCKEYE (PLANT 9180),0,54746,8000,9960,06/05 00:00:00 EDT,27373,REGULAR,Daily,1,2015-06-04 05:31:03,1077,2015-06-04
8,,Unknown,110,50 - Commercial,191612,,CANTON OH - BUCKEYE (PLANT 9180),72706,156027,8000,9960,06/10 00:00:00 EDT,191612,REGULAR,Weekly,1,2015-06-04 05:31:03,1078,2015-06-04
9,,Unknown,200,50 - Commercial,27373,54746.0,CANTON OH - BUCKEYE (PLANT 9180),16306,38440,8000,13327,06/06 00:00:00 EDT,27373,REGULAR,Daily,1,2015-06-05 03:38:23,1140,2015-06-05
10,,Unknown,110,50 - Commercial,191612,,CANTON OH - BUCKEYE (PLANT 9180),147125,84975,8000,13327,06/10 00:00:00 EDT,191612,REGULAR,Weekly,1,2015-06-05 03:38:23,1141,2015-06-05
11,,Unknown,200,50 - Commercial,27373,54746.0,CANTON OH - BUCKEYE (PLANT 9180),0,54746,8000,18074,06/09 00:00:00 EDT,27373,REGULAR,Daily,1,2015-06-08 00:43:49,1330,2015-06-08
12,,Unknown,110,50 - Commercial,191612,,CANTON OH - BUCKEYE (PLANT 9180),236847,0,8000,18074,06/10 00:00:00 EDT,191612,REGULAR,Weekly,1,2015-06-08 00:43:49,1331,2015-06-08
13,,Unknown,200,50 - Commercial,27373,54746.0,CANTON OH - BUCKEYE (PLANT 9180),0,54746,8000,18074,06/10 00:00:00 EDT,27373,REGULAR,Daily,2,2015-06-09 07:55:45,1583,2015-06-09
14,,Unknown,110,50 - Commercial,191612,,CANTON OH - BUCKEYE (PLANT 9180),236847,0,8000,18074,06/10 00:00:00 EDT,191612,REGULAR,Weekly,2,2015-06-09 07:55:45,1584,2015-06-09
15,,Unknown,200,50 - Commercial,41333,82666.0,CEDAR RAPIDS IA - BUCKEYE (PLANT 9120),14902,67764,0,0,06/04 00:00:00 CDT,41333,DIESEL,Daily,2,2015-06-03 07:40:38,636,2015-06-03
16,,Unknown,110,50 - Commercial,289333,,CEDAR RAPIDS IA - BUCKEYE (PLANT 9120),14902,303364,0,0,06/10 00:00:00 CDT,289333,DIESEL,Weekly,2,2015-06-03 07:40:38,637,2015-06-03
17,,Unknown,200,50 - Commercial,41333,82666.0,CEDAR RAPIDS IA - BUCKEYE (PLANT 9120),0,82666,0,0,06/05 00:00:00 CDT,41333,DIESEL,Daily,1,2015-06-04 05:31:03,1079,2015-06-04
18,,Unknown,110,50 - Commercial,289333,,CEDAR RAPIDS IA - BUCKEYE (PLANT 9120),52206,266060,0,0,06/10 00:00:00 CDT,289333,DIESEL,Weekly,1,2015-06-04 05:31:03,1080,2015-06-04
19,,Unknown,200,50 - Commercial,41333,82666.0,CEDAR RAPIDS IA - BUCKEYE (PLANT 9120),0,82666,0,0,06/06 00:00:00 CDT,41333,DIESEL,Daily,1,2015-06-05 03:38:23,1142,2015-06-05
20,,Unknown,110,50 - Commercial,289333,,CEDAR RAPIDS IA - BUCKEYE (PLANT 9120),74610,243656,0,0,06/10 00:00:00 CDT,289333,DIESEL,Weekly,1,2015-06-05 03:38:23,1143,2015-06-05
21,,Unknown,200,50 - Commercial,41333,82666.0,CEDAR RAPIDS IA - BUCKEYE (PLANT 9120),29599,53067,0,0,06/08 00:00:00 CDT,41333,DIESEL,Daily,1,2015-06-08 00:43:49,1332,2015-06-08
22,,Unknown,110,50 - Commercial,289333,,CEDAR RAPIDS IA - BUCKEYE (PLANT 9120),162096,156170,0,0,06/10 00:00:00 CDT,289333,DIESEL,Weekly,1,2015-06-08 00:43:49,1333,2015-06-08
23,,Unknown,200,50 - Commercial,41333,82666.0,CEDAR RAPIDS IA - BUCKEYE (PLANT 9120),7502,75164,0,0,06/10 00:00:00 CDT,41333,DIESEL,Daily,2,2015-06-09 07:55:45,1585,2015-06-09
24,,Unknown,110,50 - Commercial,289333,,CEDAR RAPIDS IA - BUCKEYE (PLANT 9120),206597,111669,0,0,06/10 00:00:00 CDT,289333,DIESEL,Weekly,2,2015-06-09 07:55:45,1586,2015-06-09
25,,Unknown,110,50 - Commercial,270968,,CORALVILLE IA - MAGELLAN (PLANT 3385),0,298065,0,0,06/10 00:00:00 CDT,270968,DIESEL,Weekly,2,2015-06-03 07:40:38,638,2015-06-03
26,,Unknown,110,50 - Commercial,270968,,CORALVILLE IA - MAGELLAN (PLANT 3385),0,298065,0,0,06/10 00:00:00 CDT,270968,DIESEL,Weekly,1,2015-06-04 05:31:03,1081,2015-06-04
