,supplier_name,en_account_type,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,date
0,P66,Contract,107%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,16057,16057,ALBUQUERQUE NM PSX - 030A,8805,7252,,,06/02 18:00:00 MDT,,GASOLINE,Daily,1,2015-06-02 08:10:06,427,2015-06-02
1,P66,Contract,87%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,481715,481715,ALBUQUERQUE NM PSX - 030A,17606,464109,,,07/01 00:00:00 MDT,,GASOLINE,Monthly,1,2015-06-02 08:10:06,429,2015-06-02
2,P66,Contract,90%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,112400,112400,ALBUQUERQUE NM PSX - 030A,79264,33136,,,06/03 18:00:00 MDT,,GASOLINE,Weekly,1,2015-06-02 08:10:06,428,2015-06-02
3,P66,Contract,112%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,16057,16057,ALBUQUERQUE NM PSX - 030A,8810,7247,,,06/03 18:00:00 MDT,,GASOLINE,Daily,2,2015-06-03 07:41:42,6267,2015-06-03
4,P66,Contract,73%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,481715,481715,ALBUQUERQUE NM PSX - 030A,26416,455299,,,07/01 00:00:00 MDT,,GASOLINE,Monthly,2,2015-06-03 07:41:42,6269,2015-06-03
5,P66,Contract,85%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,112400,112400,ALBUQUERQUE NM PSX - 030A,88074,24326,,,06/03 18:00:00 MDT,,GASOLINE,Weekly,2,2015-06-03 07:41:42,6268,2015-06-03
6,P66,Contract,137%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,16057,16057,ALBUQUERQUE NM PSX - 030A,8796,7261,,,06/04 18:00:00 MDT,,GASOLINE,Daily,1,2015-06-04 05:32:18,9139,2015-06-04
7,P66,Contract,70%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,481715,481715,ALBUQUERQUE NM PSX - 030A,35212,446503,,,07/01 00:00:00 MDT,,GASOLINE,Monthly,1,2015-06-04 05:32:18,9141,2015-06-04
8,P66,Contract,137%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,112400,112400,ALBUQUERQUE NM PSX - 030A,8796,103604,,,06/10 18:00:00 MDT,,GASOLINE,Weekly,1,2015-06-04 05:32:18,9140,2015-06-04
9,P66,Contract,171%,Available,150%,PILOT TRAVEL CENTERS LLC-10024029BR,16057,24086,ALBUQUERQUE NM PSX - 030A,8846,15240,,,06/05 18:00:00 MDT,,GASOLINE,Daily,1,2015-06-05 03:37:55,11558,2015-06-05
